arm	config	n_workers	run	pytest_s	wall_s	passed	failed	result
vm8-pgfast	serial	0	1	95.33	100	3477	0	PASS
vm8-pgfast	serial	0	2	94.24	98	3477	0	PASS
vm8-pgfast	serial	0	3	94.59	99	3477	0	PASS
vm8-pgfast	n1	1	1	100.11	104	3477	0	PASS
vm8-pgfast	n1	1	2	100.34	103	3477	0	PASS
vm8-pgfast	n1	1	3	100.58	104	3477	0	PASS
vm8-pgfast	n2	2	1	59.31	63	3477	0	PASS
vm8-pgfast	n2	2	2	59.31	62	3477	0	PASS
vm8-pgfast	n2	2	3	59.79	63	3477	0	PASS
vm8-pgfast	n4	4	1	38.18	41	3477	0	PASS
vm8-pgfast	n4	4	2	38.78	41	3477	0	PASS
vm8-pgfast	n4	4	3	38.42	42	3477	0	PASS
vm8-pgfast	n6	6	1	31.26	34	3477	0	PASS
vm8-pgfast	n6	6	2	31.40	35	3477	0	PASS
vm8-pgfast	n6	6	3	31.36	34	3477	0	PASS
vm8-pgfast	n8	8	1	27.20	31	3477	0	PASS
vm8-pgfast	n8	8	2	27.09	30	3477	0	PASS
vm8-pgfast	n8	8	3	27.27	30	3477	0	PASS
vm8-pgfast	n10	10	1	25.82	29	3477	0	PASS
vm8-pgfast	n10	10	2	26.72	30	3477	0	PASS
vm8-pgfast	n10	10	3	26.73	30	3477	0	PASS
vm8-pgfast	n12	12	1	27.19	30	3477	0	PASS
vm8-pgfast	n12	12	2	26.70	30	3477	0	PASS
vm8-pgfast	n12	12	3	25.94	29	3477	0	PASS
vm8-pgfast	n14	14	1	25.30	28	3477	0	PASS
vm8-pgfast	n14	14	2	25.39	28	3477	0	PASS
vm8-pgfast	n14	14	3	25.33	28	3477	0	PASS
vm8-pgfast	n16	16	1	29.21	33	3477	0	PASS
vm8-pgfast	n16	16	2	26.92	30	3477	0	PASS
vm8-pgfast	n16	16	3	26.89	30	3477	0	PASS
vm8-pgfast	n20	20	1	27.78	30	3477	0	PASS
vm8-pgfast	n20	20	2	27.85	31	3477	0	PASS
vm8-pgfast	n20	20	3	27.65	31	3477	0	PASS
